Player Name, Minutes Played, Games Played, PER, WS, WS48, OWS, DWS, BPM, OBPM, DBPM, VORP, Usage%, TS%, 3PA rate, FTA rate, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV% 
De'Anthony Melton,675,33,9.6,-0.2,-0.012,-0.8,0.6,-2.4,-3.7,1.2,-0.1,16.3,0.45,0.399,0.093,2.6,11.9,7.2,22.7,3.6,2.1,21.5
Khris Middleton,1679,54,15.7,4.3,0.123,1.6,2.7,0.6,0.3,0.3,1.1,23.8,0.556,0.428,0.224,1.8,16.7,9.7,19.2,1.6,0.3,12.6
C.J. Miles,630,43,8.8,0.6,0.042,-0.1,0.7,-3.5,-1.9,-1.5,-0.2,19.0,0.496,0.647,0.196,2.1,10.9,6.6,6.4,1.4,1.3,8.3
Darius Miller,1373,54,8.3,1.4,0.047,0.9,0.5,-1.2,0.2,-1.4,0.3,13.0,0.553,0.768,0.116,0.7,6.6,3.7,9.0,1.2,1.3,9.5
Patty Mills,1404,59,14.0,2.8,0.096,2.1,0.8,0.1,2.0,-1.9,0.7,17.9,0.588,0.589,0.174,1.5,9.2,5.4,17.9,1.4,0.5,11.8
Paul Millsap,1181,46,18.6,3.9,0.158,2.1,1.8,2.3,0.5,1.8,1.3,20.0,0.57,0.215,0.378,8.7,19.7,14.2,10.4,2.4,3.0,10.8
Nikola Mirotic,925,32,17.8,2.6,0.133,1.7,0.9,-0.1,1.7,-1.8,0.5,21.9,0.591,0.568,0.248,5.3,24.1,14.9,5.4,1.1,2.2,7.6
Donovan Mitchell,1765,53,15.9,2.4,0.064,-0.1,2.5,-0.4,-0.1,-0.2,0.7,31.5,0.516,0.343,0.247,2.3,10.5,6.4,20.8,2.2,0.8,11.2
Malik Monk,997,54,12.9,0.5,0.026,0.0,0.6,-3.5,-0.4,-3.1,-0.4,25.8,0.526,0.54,0.18,1.2,9.3,5.2,15.2,1.4,1.2,11.7
E'Twaun Moore,1353,47,11.6,1.6,0.057,1.2,0.4,-1.9,0.1,-2.0,0.0,17.3,0.57,0.319,0.103,2.7,6.2,4.5,9.6,1.2,0.5,9.8
Marcus Morris,1467,53,15.7,4.1,0.134,2.2,1.9,-0.4,0.5,-0.9,0.6,20.8,0.602,0.456,0.193,3.6,19.9,11.7,7.5,1.1,1.0,9.6
Markieff Morris,883,34,12.3,0.9,0.05,0.4,0.5,-2.1,-1.1,-1.0,0.0,19.7,0.543,0.439,0.223,5.0,16.9,10.8,9.7,1.3,1.9,11.5
Monte Morris,1424,57,16.8,4.7,0.158,3.5,1.2,0.5,2.0,-1.5,0.9,17.0,0.58,0.316,0.108,1.9,9.7,5.8,22.2,1.8,0.1,6.2
Emmanuel Mudiay,1036,39,15.8,0.9,0.043,0.5,0.4,-1.6,0.4,-1.9,0.1,25.4,0.533,0.275,0.259,2.4,10.0,6.1,25.0,1.4,1.1,13.4
Jamal Murray,1707,51,15.0,2.8,0.079,1.5,1.3,-1.0,0.4,-1.5,0.4,25.2,0.527,0.333,0.188,3.0,10.9,6.9,22.0,1.2,1.0,12.1
Mike Muscala,1054,48,10.5,2.0,0.089,1.0,1.0,-0.5,-0.1,-0.4,0.4,14.4,0.56,0.716,0.27,5.4,14.8,10.3,8.1,0.8,2.0,11.9
Larry Nance,1257,48,18.6,3.4,0.131,2.3,1.1,3.8,1.1,2.7,1.8,15.5,0.574,0.167,0.299,10.4,25.4,17.5,17.5,2.6,2.3,14.6
Shabazz Napier,849,47,16.1,1.9,0.105,1.0,0.8,-0.4,0.8,-1.1,0.3,24.0,0.54,0.5,0.349,1.8,9.3,5.5,22.1,2.2,1.4,11.8
Nerlens Noel,764,53,20.0,3.4,0.212,1.4,1.9,4.3,-1.5,5.8,1.2,13.7,0.602,0.0,0.246,12.6,21.5,17.0,5.5,3.2,7.8,12.5
Frank Ntilikina,872,41,6.2,-0.8,-0.043,-1.2,0.4,-5.2,-4.2,-1.0,-0.7,16.6,0.419,0.4,0.102,1.2,9.0,4.9,19.3,1.7,1.4,15.8
Jusuf Nurkic,1529,56,22.8,5.7,0.18,3.1,2.6,5.1,1.2,3.8,2.7,24.4,0.559,0.04,0.436,13.6,25.8,19.8,17.7,1.8,4.5,14.4
Royce O'Neale,1068,57,10.1,2.3,0.102,0.7,1.6,0.3,-1.8,2.2,0.6,11.7,0.614,0.471,0.159,1.9,17.5,9.7,9.9,1.7,1.2,16.8
Jahlil Okafor,570,38,19.8,1.8,0.149,1.2,0.5,-1.3,-0.5,-0.7,0.1,19.8,0.622,0.005,0.257,11.6,21.4,16.6,5.5,0.9,3.6,11.0
Elie Okobo,775,41,7.0,-0.6,-0.036,-0.7,0.2,-6.2,-4.1,-2.2,-0.8,17.1,0.471,0.443,0.148,1.1,10.8,5.9,19.6,1.5,0.5,18.2
Josh Okogie,1112,49,8.2,0.4,0.016,-0.5,0.9,-2.9,-2.8,-0.1,-0.2,16.7,0.471,0.434,0.306,2.8,11.6,7.1,6.9,2.1,1.4,11.1
Victor Oladipo,1147,36,17.8,2.6,0.108,0.5,2.1,2.4,1.2,1.2,1.3,27.9,0.519,0.367,0.24,2.1,17.2,9.8,24.9,2.6,0.9,11.2
Kelly Olynyk,1077,53,14.3,2.7,0.119,1.2,1.4,0.9,0.4,0.5,0.8,18.8,0.602,0.623,0.342,4.8,18.0,11.4,12.5,1.4,1.7,16.4
Cedi Osman,1633,52,10.8,0.5,0.014,0.3,0.2,-2.8,-1.1,-1.7,-0.3,18.9,0.53,0.436,0.231,1.9,15.1,8.2,11.1,1.2,0.5,12.1
Kelly Oubre,1540,57,14.6,1.7,0.053,0.7,1.0,-2.5,-1.1,-1.3,-0.2,22.6,0.548,0.417,0.295,3.9,14.9,9.3,6.5,1.8,2.6,9.4
Zaza Pachulia,665,46,15.4,2.1,0.153,1.1,1.1,2.0,-1.2,3.2,0.7,14.8,0.55,0.027,0.685,13.4,21.4,17.3,14.0,2.1,1.9,17.4
Jabari Parker,1154,43,14.8,0.8,0.033,-0.1,0.9,-2.5,-1.9,-0.6,-0.1,24.7,0.545,0.25,0.237,4.2,21.6,12.8,14.9,1.2,1.3,14.5
Tony Parker,837,46,15.5,1.0,0.055,0.7,0.3,-5.2,-1.3,-3.9,-0.7,25.3,0.509,0.104,0.29,1.4,7.3,4.3,33.9,1.0,0.5,12.2
Patrick Patterson,839,57,8.5,1.2,0.071,0.3,0.9,-3.3,-2.7,-0.6,-0.3,12.2,0.497,0.627,0.138,5.0,12.6,8.8,4.6,0.9,1.3,8.4
Chris Paul,1106,34,19.0,3.4,0.148,2.4,1.0,1.9,2.5,-0.6,1.1,22.4,0.556,0.481,0.31,1.9,12.8,7.2,38.3,3.2,0.7,16.5
Cameron Payne,712,40,11.6,0.5,0.033,0.1,0.4,-3.4,-2.0,-1.4,-0.3,17.6,0.519,0.377,0.184,2.0,9.2,5.5,22.2,1.9,1.1,15.7
Mason Plumlee,1176,57,18.6,4.0,0.164,2.2,1.9,4.1,0.5,3.5,1.8,16.9,0.618,0.019,0.469,11.0,20.8,15.9,18.0,2.1,4.0,19.3
Jakob Poeltl,814,55,18.7,3.0,0.176,2.2,0.8,3.2,1.6,1.5,1.1,14.1,0.64,0.0,0.354,15.5,19.6,17.5,11.6,0.8,3.6,14.9
Otto Porter,1330,45,15.9,2.6,0.094,1.4,1.2,0.4,0.3,0.1,0.8,18.7,0.571,0.39,0.146,3.9,17.4,10.5,9.9,2.4,1.5,8.3
Dwight Powell,927,53,19.5,3.9,0.203,2.7,1.2,2.8,1.6,1.2,1.1,18.0,0.658,0.261,0.534,8.5,18.2,13.5,9.2,1.4,2.8,10.7
Norman Powell,695,37,13.4,1.6,0.11,0.8,0.8,-0.5,0.1,-0.6,0.3,18.3,0.582,0.436,0.218,1.4,9.6,5.6,12.2,1.7,0.9,10.7
Julius Randle,1536,52,21.7,4.9,0.153,3.5,1.4,1.8,1.9,-0.2,1.5,26.7,0.614,0.153,0.478,7.7,24.3,16.2,15.4,1.0,1.8,13.8
J.J. Redick,1683,54,15.6,4.3,0.124,3.5,0.8,-0.6,2.9,-3.5,0.6,22.4,0.611,0.574,0.245,1.1,6.4,3.8,13.6,0.6,0.5,8.7
Josh Richardson,1872,54,14.5,4.3,0.111,2.4,1.9,0.7,1.3,-0.6,1.3,22.0,0.546,0.447,0.232,2.2,8.7,5.5,17.7,1.5,1.2,10.0
Austin Rivers,1481,53,8.0,0.7,0.021,0.3,0.3,-3.7,-1.7,-1.9,-0.6,14.9,0.505,0.577,0.174,1.5,8.3,4.8,12.7,1.0,1.0,10.7
Mitchell Robinson,750,42,21.0,3.1,0.199,2.1,1.1,6.1,0.8,5.3,1.5,11.9,0.679,0.0,0.41,13.3,14.2,13.8,4.7,1.9,10.1,9.5
Derrick Rose,1169,41,19.5,2.9,0.118,2.5,0.4,0.0,2.7,-2.7,0.6,26.4,0.559,0.216,0.212,2.4,8.1,5.2,27.7,1.1,0.8,9.2
Terrence Ross,1550,59,15.2,2.8,0.087,1.1,1.7,-0.6,0.7,-1.3,0.6,23.6,0.555,0.512,0.123,1.4,12.3,6.8,9.5,1.6,1.2,6.9
Terry Rozier,1326,57,13.6,2.9,0.105,1.0,1.9,0.2,-0.5,0.7,0.7,18.3,0.503,0.502,0.147,2.1,17.1,9.6,18.8,2.0,1.1,9.0
Ricky Rubio,1437,50,13.3,2.2,0.073,0.2,2.0,-0.2,-0.8,0.6,0.6,23.0,0.519,0.371,0.264,1.7,12.2,7.0,32.0,2.2,0.5,18.8
D'Angelo Russell,1746,58,19.0,3.4,0.094,1.9,1.6,2.4,3.4,-1.0,1.9,30.7,0.535,0.41,0.126,2.0,11.5,6.7,38.9,1.8,0.7,13.5
Domantas Sabonis,1386,56,22.5,6.3,0.217,3.5,2.7,4.1,1.8,2.4,2.2,23.0,0.649,0.027,0.404,11.4,29.7,20.8,17.2,1.3,1.6,16.7
Dario Saric,1391,56,12.8,2.6,0.09,1.6,1.0,-1.0,0.1,-1.1,0.4,17.3,0.56,0.471,0.206,6.6,18.0,12.3,8.7,1.1,0.4,11.3
Tomas Satoransky,1374,56,14.0,3.0,0.106,2.4,0.6,-0.6,0.2,-0.9,0.5,13.9,0.59,0.295,0.283,3.9,10.5,7.2,23.6,1.9,0.6,15.6
Dennis Schroder,1527,54,13.7,2.2,0.069,0.4,1.7,-3.1,-1.6,-1.5,-0.4,25.2,0.518,0.303,0.207,1.5,10.9,6.1,21.1,1.5,0.4,13.2
Mike Scott,818,56,9.1,0.9,0.052,0.2,0.7,-2.4,-1.6,-0.8,-0.1,14.8,0.513,0.576,0.076,3.4,19.3,11.6,7.9,1.1,0.9,9.5
Wayne Selden,865,51,8.3,0.1,0.007,-0.3,0.5,-5.2,-3.2,-2.0,-0.7,18.0,0.514,0.383,0.191,2.8,7.7,5.2,11.5,1.0,0.8,13.5
Collin Sexton,1766,58,10.4,-1.5,-0.04,-1.2,-0.3,-6.4,-2.9,-3.5,-2.0,25.3,0.489,0.193,0.207,2.6,8.9,5.6,15.5,0.8,0.1,12.6
Landry Shamet,1192,57,11.3,2.6,0.104,1.9,0.7,-1.0,1.4,-2.4,0.3,15.1,0.614,0.704,0.167,1.5,5.9,3.8,8.0,1.1,0.5,6.8
Iman Shumpert,1168,45,9.7,1.3,0.052,0.3,1.0,-0.7,-0.9,0.2,0.4,15.0,0.504,0.597,0.112,1.8,10.4,6.0,10.6,2.0,1.5,9.5
Pascal Siakam,1828,58,18.6,6.6,0.174,4.2,2.5,3.5,1.9,1.6,2.5,19.9,0.626,0.211,0.328,5.7,18.1,12.0,13.3,1.5,1.7,12.3
Ben Simmons,1928,57,20.2,6.1,0.152,3.5,2.6,4.1,1.5,2.6,2.9,22.2,0.587,0.004,0.474,7.2,21.0,14.3,35.5,1.8,1.7,20.1
Jonathon Simmons,877,44,7.9,-0.1,-0.005,-0.9,0.8,-5.0,-4.5,-0.5,-0.7,19.0,0.455,0.295,0.257,2.8,9.9,6.3,16.0,1.1,1.3,14.9
Marcus Smart,1540,57,12.8,3.9,0.12,1.6,2.3,1.7,0.5,1.2,1.4,14.4,0.551,0.642,0.233,2.6,8.6,5.6,19.8,3.0,1.3,16.0
Dennis Smith,1126,39,12.5,0.6,0.025,-0.5,1.1,-1.9,-1.5,-0.4,0.0,23.9,0.517,0.328,0.274,2.3,8.7,5.5,25.8,2.2,1.0,18.4
Ish Smith,668,30,8.9,0.4,0.03,-0.2,0.6,-4.1,-3.0,-1.1,-0.3,18.8,0.472,0.364,0.096,0.8,9.5,5.0,20.0,0.9,1.0,11.2
Tony Snell,984,57,11.4,2.7,0.13,1.4,1.3,-0.6,-0.2,-0.4,0.3,13.3,0.6,0.576,0.134,2.3,9.1,5.9,6.6,1.0,1.1,6.1
Omari Spellman,706,41,12.4,1.0,0.07,0.5,0.5,-1.1,-1.0,-0.1,0.2,15.0,0.514,0.537,0.194,9.2,16.4,12.7,7.4,1.6,2.8,10.0
Nik Stauskas,716,46,10.3,0.6,0.043,0.2,0.4,-3.1,-1.3,-1.8,-0.2,17.8,0.535,0.554,0.157,1.7,10.8,6.3,12.2,1.0,0.6,14.0
Lance Stephenson,902,56,12.8,1.1,0.059,0.1,1.0,-1.7,-1.2,-0.6,0.1,21.2,0.543,0.449,0.175,3.1,15.5,9.5,18.0,1.8,0.4,16.0
Jayson Tatum,1807,58,16.1,4.5,0.12,1.8,2.7,-0.3,-0.8,0.5,0.8,22.5,0.557,0.313,0.239,3.4,18.2,10.8,9.0,1.6,2.4,9.1
Jeff Teague,1028,34,15.9,2.2,0.104,1.7,0.6,-1.9,0.4,-2.3,0.0,18.9,0.538,0.254,0.375,1.2,7.8,4.5,37.7,1.7,1.1,16.6
Garrett Temple,1589,52,8.8,1.8,0.054,0.2,1.6,-1.3,-1.8,0.6,0.3,14.1,0.553,0.543,0.201,1.4,10.0,5.6,6.8,1.6,1.6,11.3
Daniel Theis,669,44,18.9,3.1,0.222,2.1,1.0,3.4,2.0,1.4,0.9,16.1,0.661,0.251,0.312,10.4,17.4,13.9,10.9,1.1,3.7,9.6
Klay Thompson,1910,56,16.8,3.7,0.094,2.1,1.6,-1.0,1.0,-2.0,0.5,25.9,0.57,0.411,0.124,1.4,10.7,6.3,9.7,1.6,1.7,7.4
Tristan Thompson,1043,35,18.7,2.4,0.109,1.8,0.5,0.8,0.3,0.4,0.7,17.5,0.547,0.0,0.258,15.7,26.2,20.7,11.4,1.3,1.3,12.0
Anthony Tolliver,591,40,8.1,0.7,0.057,0.3,0.4,-1.9,-1.2,-0.7,0.0,11.2,0.586,0.873,0.222,2.0,14.0,7.9,4.4,1.0,1.8,12.6
Karl-Anthony Towns,1888,57,25.6,8.0,0.203,5.3,2.7,6.9,4.5,2.4,4.2,27.4,0.616,0.275,0.329,10.8,28.4,19.5,16.3,1.4,4.6,13.4
Allonzo Trier,1124,51,11.9,0.6,0.027,0.3,0.4,-3.9,-2.4,-1.6,-0.5,20.5,0.561,0.235,0.407,2.2,12.4,7.1,13.6,0.9,1.1,16.9
P.J. Tucker,2015,57,9.1,2.9,0.069,1.3,1.6,0.4,-0.7,1.2,1.2,9.8,0.531,0.704,0.132,4.9,15.5,10.0,5.0,2.2,1.1,10.7
Evan Turner,1321,56,11.6,1.5,0.055,0.3,1.2,-1.8,-2.5,0.7,0.1,16.4,0.504,0.121,0.224,2.7,17.8,10.4,23.0,1.0,0.9,18.4
Myles Turner,1495,53,18.8,5.0,0.16,1.6,3.4,3.8,-1.2,5.0,2.2,20.2,0.578,0.219,0.23,5.4,21.9,13.8,8.6,1.3,8.7,10.6
Jonas Valanciunas,608,32,24.9,2.8,0.223,1.7,1.1,1.6,1.0,0.6,0.6,26.2,0.637,0.113,0.359,10.3,31.0,20.8,10.5,1.0,3.3,11.6
Fred VanVleet,1369,51,13.3,3.1,0.108,1.7,1.4,0.0,0.7,-0.7,0.7,17.8,0.529,0.495,0.192,1.6,9.2,5.4,23.3,1.6,0.7,11.3
Noah Vonleh,1483,58,13.9,2.8,0.089,1.2,1.6,0.4,-1.6,2.0,0.9,14.5,0.549,0.335,0.348,6.7,27.0,16.5,10.9,1.4,2.7,14.6
Nikola Vucevic,1802,58,25.6,7.1,0.19,3.8,3.3,6.6,3.2,3.4,3.9,27.9,0.577,0.177,0.16,9.1,32.9,20.9,22.5,1.5,3.0,10.1
Dwyane Wade,1169,46,15.4,1.6,0.066,0.3,1.3,-0.6,-0.2,-0.4,0.4,26.7,0.512,0.296,0.257,3.8,11.9,7.9,27.9,1.3,1.6,14.2
Kemba Walker,1962,57,21.4,5.2,0.127,3.7,1.5,3.4,5.0,-1.6,2.7,31.1,0.558,0.454,0.268,1.7,12.1,6.8,28.0,1.8,1.2,10.1
John Wall,1104,32,18.1,1.2,0.051,0.5,0.7,-0.2,1.0,-1.2,0.5,29.0,0.527,0.306,0.317,1.5,10.3,5.8,39.3,2.1,2.2,16.1
Taurean Waller-Prince,1021,37,11.8,0.8,0.038,0.3,0.5,-2.2,-0.7,-1.5,-0.1,20.1,0.574,0.54,0.186,1.7,12.8,7.2,10.2,1.7,1.2,14.5
T.J. Warren,1360,43,16.5,2.2,0.078,1.7,0.5,-1.4,0.3,-1.7,0.2,22.7,0.58,0.295,0.203,2.5,12.0,7.2,7.8,1.8,1.8,7.2
Russell Westbrook,1744,49,20.6,4.2,0.115,0.6,3.6,5.9,1.4,4.5,3.5,30.9,0.484,0.238,0.32,4.2,28.7,16.3,47.4,2.9,1.0,17.1
Derrick White,1138,45,14.6,2.4,0.099,1.3,1.0,0.6,0.2,0.4,0.7,16.9,0.58,0.26,0.26,2.1,12.7,7.4,19.7,1.9,1.7,15.3
Hassan Whiteside,1268,50,22.1,4.1,0.157,1.1,3.0,0.1,-2.9,3.0,0.7,22.5,0.543,0.03,0.383,15.8,36.1,25.9,5.7,1.3,7.1,12.0
Andrew Wiggins,1772,51,12.1,0.5,0.014,-0.6,1.1,-3.2,-2.0,-1.2,-0.5,24.7,0.481,0.281,0.264,3.8,11.2,7.4,10.4,1.5,1.5,9.2
Lou Williams,1382,53,21.9,3.8,0.131,3.0,0.7,0.7,3.4,-2.7,0.9,32.7,0.561,0.252,0.425,1.7,9.8,5.9,33.9,1.1,0.5,12.0
Marvin Williams,1584,56,13.0,3.2,0.098,1.7,1.6,0.5,0.3,0.3,1.0,15.0,0.551,0.604,0.133,3.5,18.1,10.7,6.1,1.6,2.2,5.1
Justise Winslow,1515,51,12.2,1.9,0.061,0.0,1.9,-0.5,-1.3,0.8,0.6,20.7,0.505,0.343,0.197,3.6,15.9,9.8,21.3,1.6,0.9,15.2
Delon Wright,981,52,14.4,2.4,0.119,1.1,1.3,0.9,-0.3,1.2,0.7,16.7,0.524,0.314,0.206,4.4,10.6,7.5,17.4,2.4,1.4,10.4
Thaddeus Young,1752,58,16.6,5.4,0.147,2.3,3.1,2.9,0.7,2.2,2.2,17.9,0.567,0.145,0.159,9.1,14.4,11.8,10.5,2.5,1.3,10.9
Trae Young,1743,58,14.5,0.7,0.02,0.3,0.5,-3.0,0.0,-3.0,-0.4,27.4,0.519,0.386,0.31,2.3,9.6,5.9,39.0,1.4,0.6,19.5
Cody Zeller,995,40,17.2,3.3,0.157,2.2,1.0,2.3,0.7,1.7,1.1,15.6,0.614,0.072,0.4,9.9,19.0,14.4,12.5,1.5,2.7,13.6
Ante Zizic,671,41,15.6,1.1,0.079,0.9,0.2,-4.3,-2.7,-1.6,-0.4,18.2,0.564,0.0,0.376,10.4,24.5,17.1,6.3,0.7,1.9,12.2
Ivica Zubac,576,36,19.1,1.9,0.161,1.2,0.7,-1.4,-1.6,0.2,0.1,20.6,0.632,0.0,0.373,10.2,21.6,16.1,7.0,0.3,4.3,13.6
